pl_name,pl_orbper,pl_orbsmax,pl_radj,st_teff,pl_eqt,st_spectype,pl_radius_earth
KIC 7917485 b,840,0.1007,0.226,7067,794,A,2.53
KOI-55 c,0.34289,0.0076,0.077,27730,794,B,0.86
KOI-55 b,0.2401,0.006,0.068,27730,794,B,0.76
TOI-2109 b,0.67248,0.0593,1.375,6593.5,3349.5,F,15.415
TOI-163 b,4.23118,0.08647,1.00667,6553.66667,1349,F,11.28333
HATS-27 b,4.63704,0.09278,0.7086,6272.8,1117,F,7.942
PH1 b,138.317,0.652,0.551,6407,481,F,6.18
HATS-26 b,3.30239,0.09003,0.8034,5979.2,1210.8,F,9.004
KELT-4 A b,2.98957,0.08632,0.9575,6085.25,1276.5,F,10.7325
WASP-186 b,5.0268,0.09052,0.68,6192,940,F,7.62
TOI-1789 b,3.2087,0.08341,0.924,5984.46667,1336,F,10.35667
TOI-892 b,10.62658,0.09853,0.649,6626.5,1086.5,F,7.2725
TOI-784 b,2.79703,0.06935,0.168,5703.5,1025,G,1.885
HD 137496 c,479.9,1.2163,0.226,5799,370,G,2.53
OGLE-2019-BLG-0468L c,10.35533,4.045,0.226,5612,794,G,2.53
OGLE-2019-BLG-0468L b,10.35533,3.29,0.226,5612,794,G,2.53
HD 213885 c,4.78503,0.0568,0.226,5978,1265,G,2.53
HD 87646 b,13.481,0.117,0.226,5770,794,G,2.53
HATS-4 b,2.51673,0.08228,0.58514,5432.85714,932.14286,G,6.55571
HATS-29 b,4.60594,0.09151,0.617,5670,877.6,G,6.914
TOI-763 c,12.27547,0.1009,0.245,5608.5,761,G,2.745
TOI-481 b,10.33115,0.09978,0.62675,5741.25,1017.25,G,7.025
HATS-25 b,4.29865,0.09089,0.6408,5694.4,968.6,G,7.18
HD 110113 c,6.74294,0.08435,0.2075,5867.5,971,G,2.325
HATS-5 b,4.76339,0.08743,0.52,5341.42857,847.57143,G,5.82571
TOI-733 b,4.88478,0.08125,0.176,5777,1066,G,1.975
HD 137496 b,1.62116,0.02732,0.117,5799,2130,G,1.31
TOI-470 b,12.19147,0.10985,0.3995,5304,660,G,4.48
HD 110113 b,2.54065,0.0788,0.20033,5822.33333,1185.33333,G,2.24333
HATS-30 b,3.17435,0.08927,0.6276,5876.8,1023.4,G,7.032
HAT-P-68 b,2.2984,0.07712,0.88467,4412.51333,912.66667,K,9.91667
Kepler-1661 b,175.06,0.633,0.345,5100,243,K,3.87
KMT-2021-BLG-0912L b,10.35533,3.085,0.226,5612,794,K,2.53
MOA-2008-BLG-379L b,10.35533,2.7,0.226,5612,794,K,2.53
TOI-178 b,1.91456,0.02607,0.103,4316,1040,K,1.15
TOI-178 c,3.23844,0.06885,0.142,4213.5,837.5,K,1.59
TOI-178 g,20.709,0.1141,0.2955,4213.5,503,K,3.315
TOI-178 d,6.55778,0.07995,0.228,4213.5,656,K,2.555
TOI-181 b,4.53203,0.0773,0.632,4988.5,873,K,7.085
TOI-178 f,15.23192,0.1039,0.204,4316,521,K,2.29
HIP 81208 C b,104100,23.04,0.226,5612,2050,M,2.53
RR Cae b,4343.5,5.3,0.226,5612,794,M,2.53
OGLE-2014-BLG-0319L b,10.35533,3.49,0.226,5612,794,M,2.53
OGLE-2007-BLG-349L AB c,2557,2.59,0.226,5612,794,M,2.53
OGLE-2011-BLG-0251L b,10.35533,2.11,0.226,5612,794,M,2.53
UCAC4 328-061594 b,10.35533,19000,0.226,5612,794,DC,2.53
WD 0806-661 b,10.35533,2500,0.226,5612,331.5,DQ,2.53
TOI-1518 b,1.90261,0.0801,1.28267,8172.66667,2068,F0,14.37667
TOI-2010 b,638.25321,0.32615,1.0515,5885.5,418.5,F0,11.79
WASP-93 b,2.73253,0.08649,0.70613,6427.375,1064.375,F4,7.9125
HD 143105 b,2.1974,0.0379,0.226,6380,794,F5,2.53
HD 77946 b,6.52162,0.08635,0.2465,6034.5,972.5,F5,2.76
WASP-120 b,3.61127,0.09084,0.6732,6282.4,1185.6,F5,7.544
XO-6 b,3.76499,0.0975,0.7595,6536,1020.83333,F5,8.51167
WASP-90 b,3.91611,0.08957,0.89325,6379.5,1266.75,F6,10.01
WASP-92 b,2.17468,0.08216,0.69857,6055.82286,1065.71429,F7,7.83
WASP-76 b,1.80988,0.08716,0.8934,6128.04,1340.2,F7,10.012
TOI-677 b,11.23663,0.10147,0.696,6332.75,882.5,F8,7.8025
HD 12484 b,58.83,0.297,0.226,5920,794,F8,2.53
HD 220842 b,218.47,0.74,0.226,5960,794,F8,2.53
TOI-1338 c,215.5,0.794,0.226,6050,794,F8,2.53
HD 148164 c,5062,6.15,0.226,6032,794,F8,2.53
HD 148164 b,328.55,0.993,0.226,6032,794,F8,2.53
WASP-169 b,5.61129,0.09418,0.7242,5991.1,1114,F8,8.116
WASP-150 b,5.64421,0.09027,0.77233,6248.66667,1211,F8,8.65667
HD 332231 b,18.71199,0.11142,0.56575,6098,864.75,F8,6.34
WASP-142 b,2.05287,0.0875,0.7562,5930.4,1258.2,F8,8.474
WASP-141 b,3.31066,0.08994,0.6164,5868.4,1075.6,F9,6.906
WASP-159 b,3.84041,0.09132,0.6318,5976.2,1198.6,F9,7.08
WASP-94 B b,2.00839,0.0335,0.226,6040,794,F9,2.53
HD 220773 b,3724.7,4.94,0.226,5940,794,F9,2.53
WASP-176 b,3.89922,0.0771,1.4335,6046.5,1679.5,F9,16.07
WASP-124 b,3.37268,0.09273,0.51957,5924.85714,948.57143,F9,5.82143
TIC 172900988 b,196.08817,0.88962,1.00233,6050,794,F9,11.235
HAT-P-66 b,2.97209,0.08929,0.7328,5943.824,1225.2,G0,8.212
HD 214823 b,1860.21106,3.165,0.226,5993.75,794,G0,2.53
HD 149143 b,4.07596,0.052,0.226,5870.75,794,G0,2.53
HD 158259 e,7.951,0.1007,0.226,5612,794,G0,2.53
HD 35759 b,82.467,0.389,0.226,6060,794,G0,2.53
BD-00 4475 b,723.2,1.48,0.226,5040,794,G0,2.53
HD 158259 f,12.028,0.1007,0.226,5612,794,G0,2.53
HD 158259 d,5.19808,0.1007,0.226,5612,794,G0,2.53
HD 155358 b,194.3,0.635,0.226,5902.5,794,G0,2.53
HD 155358 c,391.9,1.02,0.226,5900,794,G0,2.53
HD 158259 c,3.432,0.1007,0.226,5612,794,G0,2.53
WASP-131 b,5.32202,0.0927,0.6848,5946.4,1055,G0,7.676
WASP-114 b,1.54877,0.08626,0.6622,5863.87,1261.8,G0,7.422
WASP-153 b,3.33261,0.09192,0.6415,5839.36667,1077.83333,G0,7.19
HD 152843 b,11.62358,0.103,0.295,6319.5,898.5,G0,3.31
HD 152843 c,17.36767,0.1007,0.4465,6319.5,523.5,G0,5.005
WASP-129 b,5.74814,0.09122,0.64075,5828,947,G1,7.1825
WASP-113 b,4.54217,0.09373,0.644,5851.88333,1027.16667,G1,7.21667
K2-376 b,5.77647,0.1007,0.155,5937,794,G1,1.74
K2-398 c,18.78784,0.1007,0.455,5946,794,G2,5.1
TIC 139270665 c,1010,2,0.226,5844,200,G2,2.53
HD 105779 b,2412,3.38,0.226,5792,794,G2,2.53
K2-111 c,15.6795,0.11614,0.226,5775,794,G2,2.53
HAT-P-65 b,2.60541,0.07641,1.1092,5858.6,1413.2,G2,12.434
K2-402 b,17.27474,0.1007,0.239,5716,794,G2,2.68
TIC 139270665 b,23.624,0.163,0.645,5844,703,G2,7.23
K2-374 b,4.52195,0.1007,0.142,5789,794,G3,1.59
K2-374 c,16.43445,0.1007,0.197,5789,794,G3,2.21
HAT-P-28 b,3.25725,0.07777,0.7956,5683.676,1000.8,G3,8.918
WASP-70 A b,3.71302,0.07462,0.695,5747.25,942.25,G4,7.79
K2-407 c,9.22453,0.1007,0.121,5563,794,G4,1.36
WASP-147 b,4.60274,0.08925,0.64475,5731.25,1091.5,G4,7.225
K2-409 b,1.90808,0.1007,0.221,5742,794,G4,2.48
KELT-14 b,1.71005,0.07707,0.91283,5715.66667,1291.5,G4,10.23167
K2-407 b,4.94191,0.1007,0.114,5563,794,G4,1.28
WASP-133 b,2.17644,0.08415,0.73175,5686.5,1273.75,G4,8.2
WASP-123 b,2.97764,0.08618,0.7645,5698.75,1142.25,G5,8.5675
HD 163607 c,1284.46667,2.39667,0.226,5529,794,G5,2.53
HD 211810 b,1558,2.656,0.226,5652,794,G5,2.53
HIP 14810 d,966.9,1.915,0.226,5514.5,794,G5,2.53
HD 29021 b,1363.65,2.287,0.226,5586,794,G5,2.53
HD 11755 b,433.70001,1.085,0.226,4312.25,794,G5,2.53
HD 163607 b,75.2351,0.36133,0.226,5529,794,G5,2.53
HD 164509 b,281.285,0.8725,0.226,5890.5,794,G5,2.53
HD 79498 b,1886.55,3.055,0.226,5744,794,G5,2.53
HIP 109384 b,499.48,1.134,0.226,5180,794,G5,2.53
HIP 109600 b,232.08,0.706,0.226,5530,794,G5,2.53
WASP-182 b,3.37702,0.0868,0.5175,5625.715,1101,G5,5.8
WASP-119 b,2.4998,0.0915,0.538,5644.57143,995.71429,G5,6.02857
WASP-165 b,3.4655,0.08758,0.7465,5595.075,1191.25,G6,8.365
WASP-130 b,11.55098,0.1008,0.5104,5622.4,795.6,G6,5.72
WASP-64 b,1.57329,0.07597,0.75567,5460.33333,1078.16667,G7,8.47
K2-397 b,3.57233,0.1007,0.216,5387,794,G7,2.42
HD 20794 b,18.3225,0.12385,0.226,5506.5,727,G8,2.53
HD 20794 d,89.6045,0.35695,0.226,5506.5,591,G8,2.53
HIP 63242 b,124.6,0.565,0.226,4830,794,G8,2.53
HD 173416 b,218.66178,1.106,0.226,4992.66667,794,G8,2.53
HD 20794 e,147.02,0.509,0.226,5612,794,G8,2.53
WASP-83 b,4.97128,0.08879,0.58171,5520.28571,883.57143,G8,6.52
WASP-96 b,3.42526,0.08489,0.655,5544.57143,926.85714,G8,7.34
WASP-183 b,4.11177,0.08711,0.82075,5415.7,933,G9,9.2
WASP-84 c,1.44689,0.06214,0.3095,5425,1524,K0,3.47
K2-395 b,4.80335,0.1007,0.232,5007,794,K0,2.6
HD 141399 b,94.38833,0.41837,0.226,5518.25333,794,K0,2.53
HD 141399 c,201.94867,0.69477,0.226,5518.25333,794,K0,2.53
HD 331093 b,621.62,1.44,0.226,5544,794,K0,2.53
HD 208897 b,355.485,1.0565,0.226,4860,794,K0,2.53
8 UMi b,93.4,0.49,0.226,4847.2,794,K0,2.53
HIP 97233 b,1058.35502,2.496,0.226,5217.33333,794,K0,2.53
HD 142022 A b,1930.33333,2.96633,0.226,5473,794,K0,2.53
BD+15 2940 b,137.48,0.539,0.226,4796,794,K0,2.53
BD+49 828 b,2590,4.2,0.226,4943,794,K0,2.53
HIP 65407 c,67.3,0.316,0.226,5460,794,K0,2.53
HIP 65407 b,28.125,0.177,0.226,5460,794,K0,2.53
HD 42012 b,857.5,1.67,0.226,5405,794,K0,2.53
HD 19615 b,402,1.1,0.226,4263,794,K0,2.53
HD 95127 b,482,1.28,0.226,4218,794,K0,2.53
BD+63 1405 b,1214.24,2.0875,0.226,5000,794,K0,2.53
WASP-140 b,2.23598,0.08702,0.6634,5330.4,980.6,K0,7.434
K2-395 c,8.49128,0.1007,0.303,5007,794,K0,3.4
WASP-84 b,8.52349,0.08904,0.69637,5373,776.75,K0,7.805
BD+60 1417 b,10.35533,1662,1.31,4993,1303,K0,14.69
HD 330075 b,3.38773,0.0395,0.226,5008.5,892,K1,2.53
BD+45 564 b,307.88,0.83,0.226,5004,794,K1,2.53
HD 22781 b,528.07,1.167,0.226,5027,794,K1,2.53
HD 174205 b,582,1.7,0.226,4308,794,K2,2.53
HATS-7 b,3.18531,0.07647,0.4124,4976.8,887.8,K2,4.622
WASP-105 b,7.87289,0.09556,0.597,5178.4,839.6,K2,6.69
BD+55 362 b,265.59,0.78,0.226,5012,794,K3,2.53
WASP-156 b,3.83616,0.08962,0.3466,5050.4,860,K3,3.884
K2-233 d,24.36538,0.13521,0.224,4977.66667,599.66667,K3,2.51
WASP-89 b,3.35642,0.07172,0.633,5097.5,875.5,K3,7.095
EPIC 212737443 c,65.55,0.28,0.24,4684,316,K3,2.69
WASP-91 b,2.79858,0.08796,0.5516,5058.4,926.2,K3,6.182
HD 73583 c,18.87984,0.11607,0.21133,4596,506,K4,2.37
WASP-132 b,7.13352,0.09107,0.52143,4885.85714,782.28571,K4,5.84286
WASP-132 c,1.01153,0.05945,0.1865,4744.5,1090,K4,2.09
HD 233604 b,192,0.747,0.226,4791,794,K5,2.53
GJ 900 b,10.35533,12000,0.226,5612,794,K7,2.53
TOI-1130 b,4.07166,0.07248,0.30125,4271.5,752,K7,3.375
TOI-1130 c,8.35011,0.08607,0.977,4271.5,629.25,K7,10.9525
TOI-1728 b,3.49146,0.0853,0.336,3961.75,768.25,M0,3.765
GJ 3138 c,5.974,0.057,0.226,3717,794,M0,2.53
GJ 3138 b,1.22003,0.0197,0.226,3717,794,M0,2.53
ROXs 12 b,10.35533,212,0.226,3698.5,794,M0,2.53
HIP 38594 b,60.722,0.256,0.226,5612,794,M0,2.53
ROXs 42 B b,10.35533,149,0.226,4885.66667,1656.33333,M0,2.53
GJ 3942 b,6.905,0.0608,0.226,3867,590,M0,2.53
HIP 38594 c,3477.768,3.805,0.226,5612,794,M0,2.53
UCAC3 113-933 b,10.35533,6100,0.226,5612,794,M0,2.53
GJ 3138 d,257.8,0.698,0.226,3717,794,M0,2.53
GJ 15 A b,11.4424,0.0723,0.226,3638.89,712.66667,M1,2.53
GJ 3998 c,13.74,0.089,0.226,3722,794,M1,2.53
K2-404 b,13.11537,0.1007,0.226,3748,794,M1,2.53
HIP 71135 b,87.19,0.335,0.226,4146,794,M1,2.53
GJ 15 A c,7600,5.4,0.226,3607,794,M1,2.53
Gl 378 b,3.822,0.03943,0.226,3879,830,M1,2.53
GJ 3998 b,2.64977,0.029,0.226,3722,794,M1,2.53
LHS 1815 b,3.81431,0.08563,0.1325,3638.5,762,M1,1.485
GJ 625 b,14.628,0.07836,0.226,3499,794,M2,2.53
GJ 96 b,73.94,0.291,0.226,3785,794,M2,2.53
GU Psc b,10.35533,2000,1.265,5612,1050,M3,14.18
TOI-2257 b,35.1895,0.12285,0.1975,3438,243.5,M3,2.215
TOI-1266 c,18.80159,0.10312,0.175,3601.8,433,M3,1.962
GJ 1252 b,0.51824,0.07018,0.14517,3435.83333,880.66667,M3,1.62667
Ross 128 b,9.8658,0.0496,0.226,3192,301,M4,2.53
GJ 3323 b,5.3636,0.03282,0.226,3159,794,M4,2.53
GJ 3323 c,40.54,0.1264,0.226,3159,794,M4,2.53
TOI-2015 b,3.34905,0.0654,0.391,3208.5,584.5,M4,4.385
TOI-3884 b,4.54456,0.06805,0.5225,3230.5,446,M4,5.86
TOI-715 b,19.28799,0.09185,0.14,3075,234.5,M4,1.57
TOI-2096 b,3.11907,0.06285,0.128,3292.5,450,M4,1.435
LHS 3844 b,0.46292,0.07708,0.17225,3037.75,779,M5,1.93
2MASS J02192210-3925225 b,10.35533,156,1.44,3064,794,M6,16.14
USco CTIO 108 b,10.35533,670,0.226,2700,794,M7,2.53
NN Ser c,5616.775,5.365,0.226,31306,794,WD,2.53
NN Ser d,2856.75,3.41,0.226,31306,794,WD,2.53
HD 5278 c,40.87,0.2416,0.226,6203,794,F V,2.53
HD 5278 b,14.33918,0.1072,0.217,6233.9,859.66667,F V,2.43
TOI-4127 b,56.40158,0.2044,1.1075,6264.5,438.5,F V,12.415
TOI-558 b,14.57348,0.1149,1.1465,6245.9,1037,F V,12.85
TOI-559 b,6.98391,0.0865,1.0915,5948.5,1214.5,G V,12.235
TOI-1288 c,443,0.1007,0.226,5225,794,G V,2.53
Kepler-1513 c,841.4,0.1007,0.226,5491,794,G V,2.53
HATS-23 b,2.16046,0.07846,1.36467,5780,1080.66667,G V,15.29667
HATS-17 b,16.25466,0.10672,0.4638,5799.2,796.6,G V,5.198
TOI-5398 c,4.7728,0.07885,0.3045,6008.55,1232,G V,3.415
TOI-908 b,3.18379,0.07118,0.2805,5563,1267.5,G V,3.145
TOI-1386 c,227.6,0.739,0.226,5793,327,G5V,2.53
TOI-1386 b,18.09686,0.13695,0.562,5781,735,G5V,6.3
TOI-4600 c,246.58722,0.62635,0.7285,5121.5,432,K V,8.17
TOI-4010 e,762,1.57,0.226,4960,174,K V,2.53
OGLE-2003-BLG-235L b,10.35533,3.65,0.226,5612,794,K V,2.53
TOI-969 c,1700,2.52,0.226,4435,96,K V,2.53
TOI-836 b,3.81673,0.07145,0.1515,4514,787.5,K V,1.695
HD 15906 c,21.5833,0.141,0.261,4757,532,K V,2.93
HATS-22 b,4.72282,0.09229,0.49,4937.83333,810.33333,K V,5.49
TOI-2018 b,7.43557,0.1007,0.2105,4196.45,807.5,K V,2.355
TOI-1246 b,4.30745,0.07485,0.281,5146,955,K V,3.15
TOI-1268 b,8.15772,0.0754,0.7768,5232.44,832.2,K V,8.706
TOI-4010 b,1.34832,0.0618,0.277,4924,1400,K V,3.105
TOI-238 c,8.46565,0.0749,0.194,5059,696,K2V,2.17
KMT-2021-BLG-1077L c,10.35533,0.93,0.226,5612,794,M V,2.53
OGLE-2012-BLG-0724L b,10.35533,1.6,0.226,5612,794,M V,2.53
KMT-2021-BLG-1077L b,10.35533,1.26,0.226,5612,794,M V,2.53
2M0437 b,10.35533,118,0.226,3100,1450,M V,2.53
K2-416 b,13.102,0.088,0.237,3746,447,M V,2.66
K2-417 b,6.535,0.063,0.295,3861,558,M V,3.31
TOI-540 b,1.23915,0.07121,0.131,3158,651.66667,M V,1.46667
HIP 65426 b,10.35533,92,1.5,8840,1500,A2 V,16.82
KELT-20 b,3.47411,0.08567,1.02467,8274.46667,1498,A2 V,11.485
HAT-P-57 b,2.4653,0.08568,0.90125,7207.5,1145.5,A8 V,10.1025
MWC 758 c,10.35533,100,0.226,5612,500,A8Ve,2.53
WASP-172 b,5.47744,0.09287,0.95925,6588.5,1265.75,F1 V,10.7525
WASP-167 b,2.02196,0.09,0.71367,6768.66667,1266.83333,F1 V,7.99833
HD 114082 b,109.75,0.5109,1,6651,794,F3 V,11.21
CoRoT-36 b,5.61653,0.066,1.41,6730,1567,F3 V,15.81
KELT-18 b,2.87171,0.0915,0.6805,6550.33333,1232,F4 V,7.62667
TOI-2152 A b,3.37732,0.07567,1.323,6659,1774,F4 V,14.83
HD 206893 b,9975,10,0.738,6056,1464.5,F5 V,8.27
HIP 21152 b,22500,17.25,0.226,6133.5,1275,F5 V,2.53
HD 111998 b,817.95,1.865,0.226,6084.5,794,F5 V,2.53
HD 103774 b,5.8881,0.07,0.226,6489,794,F5 V,2.53
DMPP-2 b,5.2072,0.0664,0.226,6500,1000,F5 V,2.53
HD 206893 c,2090,3.53,1.46,5612,1182,F5 V,16.37
EPIC 246851721 b,6.18026,0.09123,0.82033,6305.66667,1175,F5 V,9.19333
HR 2562 b,10.35533,20.3,1.11,5612,1200,F5 V,12.44
WASP-158 b,3.65651,0.08437,0.81267,6313,1303.66667,F6 V,9.10667
HD 33564 b,388,1.1,0.226,6250,794,F6 V,2.53
K2-260 b,2.62668,0.08864,0.7814,6388.6,1262.4,F6 V,8.758
TOI-201 b,52.97817,0.16713,0.75167,6416.6,717,F6 V,8.42667
WTS-1 b,3.35206,0.047,1.49,6250,1500,F6 V,16.7
CoRoT-35 b,3.22748,0.0429,1.68,6390,1747,F6 V,18.83
Qatar-10 b,1.64532,0.08628,0.7842,6001.4,1231,F7 V,8.79
HD 62364 b,10720.07562,9.43175,0.226,5933.5,794,F7 V,2.53
